Timestamp,Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z,IsTargetTrace,StrokeID,TargetID,TrailTypeID
135.1734,-0.0895967,0.03443804,-0.2130938,81.4147,356.2433,264.2326,True,21,5,0
135.1761,-0.08951667,0.03433578,-0.2131041,81.43771,356.442,264.4292,True,21,5,0
135.1787,-0.08943213,0.03422795,-0.2131148,81.46201,356.653,264.6379,True,21,5,0
135.1824,-0.08906394,0.03413978,-0.2132748,81.53044,357.3341,265.3494,True,21,5,0
135.186,-0.08893856,0.03401279,-0.213298,81.56227,357.6265,265.6401,True,21,5,0
135.1888,-0.08882624,0.03389937,-0.2133186,81.59055,357.8901,265.9021,True,21,5,0
135.1925,-0.08850839,0.03385147,-0.213414,81.62386,358.451,266.4943,True,21,5,0
135.1954,-0.08839719,0.03375982,-0.21344,81.64845,358.6963,266.7393,True,21,5,0
135.198,-0.08829235,0.03367363,-0.2134645,81.67147,358.9288,266.9714,True,21,5,0
135.201,-0.08823424,0.03365448,-0.2132805,81.62563,359.1026,267.1545,True,21,5,0
135.2046,-0.08811084,0.03355835,-0.2133059,81.65075,359.3814,267.433,True,21,5,0
135.2078,-0.08845339,0.03354216,-0.2131076,81.61423,358.7507,266.8683,True,21,5,0
135.2106,-0.08835784,0.03346176,-0.2131201,81.63538,358.9759,267.0952,True,21,5,0
135.2133,-0.08827771,0.0333945,-0.2131304,81.65302,359.1656,267.2863,True,21,5,0
135.2171,-0.08858324,0.03329431,-0.2132203,81.69395,358.713,266.8777,True,21,5,0
135.2214,-0.08847623,0.03318098,-0.2132436,81.72469,359.0052,267.1741,True,21,5,0
135.2249,-0.08861298,0.03299467,-0.2133545,81.77486,358.914,267.0677,True,21,5,0
135.2281,-0.08855581,0.0329106,-0.2133738,81.79558,359.0977,267.2537,True,21,5,0
135.2309,-0.08849976,0.03282835,-0.2133926,81.81597,359.2787,267.4368,True,21,5,0
135.2342,-0.08842199,0.03264032,-0.2137468,81.91969,359.5068,267.6377,True,21,5,0
135.2375,-0.08836001,0.03254379,-0.213785,81.94402,359.708,267.8404,True,21,5,0
135.2415,-0.08812189,0.03234741,-0.2141968,82.05888,0.3307438,268.5105,True,21,5,0
135.2449,-0.08804455,0.03222993,-0.2142655,82.08956,0.5850377,268.7682,True,21,5,0
135.2478,-0.08798593,0.03214107,-0.2143175,82.11275,0.7788734,268.9646,True,21,5,0
135.2506,-0.08800603,0.032014,-0.2140789,82.07977,0.9598672,269.1656,True,21,5,0
135.2534,-0.08795562,0.0319158,-0.214114,82.10181,1.158262,269.3671,True,21,5,0
135.2565,-0.08789224,0.03179267,-0.2141579,82.12927,1.408919,269.6216,True,21,5,0
